group,variable,col,value
23/11/19,Virgin Money,No Change,"[{""url"":""https://virginmoney.com.au/insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://virginmoney.com.au/insurance/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://virginmoney.com.au/insurance/income-protection"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://virginmoney.com.au/insurance/life-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://virginmoney.com.au/insurance/travel-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,AAMI,Varified,"[{""url"":""https://www.aami.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.aami.com.au/car-insurance.html"",""removed_content"":[""CLOUD, getContent, 258ms""],""added_content"":[""CLOUD, getContent, 78ms""],""content_changed"":true},{""url"":""https://www.aami.com.au/home-insurance.html"",""removed_content"":[""y_2019, m_11, d_19, h_1"",""bvseo_bulk, prod_bvrr, vn_bulk_3.0.2"",""CLOUD, getContent, 124ms""],""added_content"":[""bvseo_bulk, prod_bvrr, vn_bulk_3.0.3-b1"",""CLOUD, getContent, 266ms"",""y_2019, m_11, d_20, h_3""],""content_changed"":true},{""url"":""https://www.aami.com.au/health-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.aami.com.au/travel-insurance.html"",""removed_content"":[""CLOUD, getContent, 351ms""],""added_content"":[""CLOUD, getContent, 500ms""],""content_changed"":true},{""url"":""https://www.aami.com.au/travel-insurance.html"",""removed_content"":[""CLOUD, getContent, 351ms""],""added_content"":[""CLOUD, getContent, 500ms""],""content_changed"":true},{""url"":""https://www.aami.com.au/life-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.aami.com.au/business-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,Budget Direct,No Change,"[{""url"":""https://www.budgetdirect.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.budgetdirect.com.au/car-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.budgetdirect.com.au/home-contents-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.budgetdirect.com.au/travel-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,Apia,Change,"[{""url"":""https://www.apia.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.apia.com.au/car-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.apia.com.au/home-insurance.html"",""removed_content"":[""CLOUD, getContent, 273ms""],""added_content"":[""CLOUD, getContent, 10ms""],""content_changed"":true},{""url"":""https://www.apia.com.au/travel-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,Suncorp,Change,"[{""url"":""https://www.suncorp.com.au/insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/home.html"",""removed_content"":[""CLOUD, getContent, 38ms""],""added_content"":[""CLOUD, getContent, 35ms""],""content_changed"":true},{""url"":""https://www.suncorp.com.au/insurance/car.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/life.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/health.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.suncorp.com.au/insurance/travel.html"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,Bingle,No Change,"[{""url"":""https://www.bingle.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,QBE,No Change,"[{""url"":""https://www.qbe.com/au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.qbe.com/au/motor-vehicle-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.qbe.com/au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://www.qbe.com/au/business-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,Coles,Change,"[{""url"":""https://financialservices.coles.com.au/insurance"",""removed_content"":[],""added_content"":[""If you have been impacted by recent weather events and need to make a claim"",""Severe bushfire warnings have been issued for NSW and QLD."",""000"",""1300 265 374"",""or call us on"",""Stay safe and for immediate assistance call"",""click here""],""content_changed"":true},{""url"":""https://financialservices.coles.com.au/insurance/car-insurance"",""removed_content"":[],""added_content"":[""If you have been impacted by recent weather events and need to make a claim"",""Severe bushfire warnings have been issued for NSW and QLD."",""000"",""1300 265 374"",""or call us on"",""Stay safe and for immediate assistance call"",""click here""],""content_changed"":true},{""url"":""https://financialservices.coles.com.au/insurance/home-insurance"",""removed_content"":[],""added_content"":[""If you have been impacted by recent weather events and need to make a claim"",""Severe bushfire warnings have been issued for NSW and QLD."",""000"",""1300 265 374"",""or call us on"",""Stay safe and for immediate assistance call"",""click here""],""content_changed"":true},{""url"":""https://financialservices.coles.com.au/insurance/travel-insurance-existing-policyholders"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,Huddle,No Change,"[{""url"":""https://huddle.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://huddle.com.au/car-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://huddle.com.au/travel-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://huddle.com.au/home-insurance"",""removed_content"":[],""added_content"":[],""content_changed"":false}]"
23/11/19,Woolworths,Varified,"[{""url"":""https://insurance.woolworths.com.au"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://insurance.woolworths.com.au/car-insurance.html"",""removed_content"":[""Backed by Hollard, Awarded ANZIFF's Large General Insurance Company of the Year 2019""],""added_content"":[""Backed by Hollard, Awarded ANZIIF's Large General Insurance Company of the Year 2019""],""content_changed"":true},{""url"":""https://insurance.woolworths.com.au/travel-insurance.html"",""removed_content"":[],""added_content"":[],""content_changed"":false},{""url"":""https://insurance.woolworths.com.au/home-insurance.html"",""removed_content"":[""Backed by Hollard, Awarded ANZIFF's Large General Insurance Company of the Year 2019""],""added_content"":[""Backed by Hollard, Awarded ANZIIF's Large General Insurance Company of the Year 2019""],""content_changed"":true}]"
